State,Percent_Catholic
Alabama,0.07
Alaska,0.16
Arizona,0.21
Arkansas,0.08
California,0.28
Colorado,0.16
Connecticut,0.33
Delaware,0.22
District of Columbia,0.20
Florida,0.21
Georgia,0.09
Hawaii,0.20
Idaho,0.10
Illinois,0.28
Indiana,0.18
Iowa,0.18
Kansas,0.18
Kentucky,0.10
Louisiana,0.26
Maine,0.21
Maryland,0.15
Massachusetts,0.34
Michigan,0.18
Minnesota,0.22
Mississippi,0.04
Missouri,0.16
Montana,0.17
Nebraska,0.23
Nevada,0.25
New Hampshire,0.26
New Jersey,0.34
New Mexico,0.34
New York,0.31
North Carolina,0.09
North Dakota,0.26
Ohio,0.18
Oklahoma,0.08
Oregon,0.12
Pennsylvania,0.24
Rhode Island,0.42
South Carolina,0.10
South Dakota,0.22
Tennessee,0.06
Texas,0.23
Utah,0.05
Vermont,0.22
Virginia,0.12
Washington,0.17
West Virginia,0.06
Wisconsin,0.25
Wyoming,0.14
